Input_NB,University & Shattuck,Output_NB,Input_SB,University & Shattuck,Output_SB
6:00 AM,6:12 AM,6:41 AM,5:42 AM,6:21 AM,6:32 AM
6:27 AM,6:39 AM,7:16 AM,6:37 AM,7:09 AM,7:20 AM
7:00 AM,7:12 AM,7:41 AM,6:55 AM,7:27 AM,7:38 AM
7:30 AM,7:42 AM,8:19 AM,7:03 AM,7:35 AM,7:46 AM
8:00 AM,8:12 AM,8:41 AM,7:24 AM,7:56 AM,8:07 AM
8:30 AM,8:42 AM,9:13 AM,7:38 AM,8:10 AM,8:21 AM
9:00 AM,9:12 AM,9:43 AM,7:48 AM,8:20 AM,8:31 AM
9:30 AM,9:42 AM,10:13 AM,7:58 AM,8:30 AM,8:41 AM
9:58 AM,10:10 AM,10:41 AM,8:08 AM,8:41 AM,8:52 AM
10:30 AM,10:42 AM,11:13 AM,8:18 AM,8:51 AM,9:02 AM
11:00 AM,11:12 AM,11:43 AM,8:29 AM,9:02 AM,9:13 AM
11:30 AM,11:42 AM,12:12 PM,8:40 AM,9:13 AM,9:24 AM
12:00 PM,12:12 PM,12:42 PM,8:51 AM,9:24 AM,9:35 AM
12:30 PM,12:42 PM,1:12 PM,9:02 AM,9:35 AM,9:46 AM
1:00 PM,1:12 PM,1:42 PM,9:13 AM,9:46 AM,9:57 AM
1:30 PM,1:42 PM,2:12 PM,9:25 AM,9:58 AM,10:09 AM
2:00 PM,2:12 PM,2:51 PM,9:37 AM,10:10 AM,10:21 AM
2:32 PM,2:44 PM,3:15 PM,10:08 AM,10:41 AM,10:52 AM
3:02 PM,3:14 PM,3:47 PM,10:38 AM,11:11 AM,11:22 AM
3:29 PM,3:41 PM,4:14 PM,11:08 AM,11:41 AM,11:52 AM
3:44 PM,3:56 PM,4:29 PM,11:38 AM,12:11 PM,12:22 PM
3:54 PM,4:06 PM,4:39 PM,12:08 PM,12:41 PM,12:52 PM
4:04 PM,4:17 PM,4:49 PM,12:37 PM,1:10 PM,1:21 PM
4:15 PM,4:28 PM,5:00 PM,1:07 PM,1:40 PM,1:51 PM
4:25 PM,4:38 PM,5:10 PM,1:35 PM,2:08 PM,2:19 PM
4:35 PM,4:48 PM,5:19 PM,2:05 PM,2:45 PM,2:56 PM
4:45 PM,4:58 PM,5:29 PM,2:32 PM,3:12 PM,3:23 PM
4:55 PM,5:08 PM,5:39 PM,3:04 PM,3:37 PM,3:48 PM
5:05 PM,5:18 PM,5:49 PM,3:35 PM,4:08 PM,4:19 PM
5:15 PM,5:28 PM,5:59 PM,4:05 PM,4:38 PM,4:49 PM
5:25 PM,5:38 PM,6:09 PM,4:35 PM,5:08 PM,5:19 PM
5:36 PM,5:49 PM,6:20 PM,5:06 PM,5:39 PM,5:50 PM
5:46 PM,5:59 PM,6:30 PM,5:35 PM,6:08 PM,6:19 PM
5:57 PM,6:10 PM,6:41 PM,6:05 PM,6:38 PM,6:49 PM
6:10 PM,6:23 PM,6:53 PM,6:35 PM,7:08 PM,7:19 PM
6:20 PM,6:33 PM,7:03 PM,7:01 PM,7:41 PM,7:52 PM
6:29 PM,6:42 PM,7:12 PM,7:34 PM,8:14 PM,8:25 PM
6:40 PM,6:53 PM,7:23 PM,8:01 PM,8:34 PM,8:45 PM
6:55 PM,7:08 PM,7:38 PM,8:27 PM,9:00 PM,9:11 PM
7:10 PM,7:23 PM,8:01 PM,8:56 PM,9:29 PM,9:40 PM
7:25 PM,7:38 PM,8:08 PM,9:26 PM,9:59 PM,10:10 PM
7:39 PM,7:52 PM,8:22 PM,9:56 PM,10:29 PM,10:40 PM
7:58 PM,8:11 PM,8:40 PM,10:26 PM,10:59 PM,11:10 PM
8:20 PM,8:32 PM,9:01 PM,10:58 PM,11:31 PM,11:42 PM
8:51 PM,9:03 PM,9:32 PM,,,
9:25 PM,9:37 PM,10:06 PM,,,
9:55 PM,10:07 PM,10:36 PM,,,
10:27 PM,10:39 PM,11:08 PM,,,
11:01 PM,11:13 PM,11:42 PM,,,
